YearBorn,nBornThisYear,meanLRS,SD,LRSfemale,LRSmale,meanRRS,SDRRS,replicate,parameterset,LRSmigs,LRSnative,project,group
16,174,1.24712643678161,1.46317724444485,1.39759036144578,1.10989010989011,0.103927203065134,0.121931437037071,1,4,NaN,1.24712643678161,_proj_,_group_
17,170,1.07058823529412,1.50571483579218,1.15189873417722,1,0.0892156862745098,0.125476236316015,1,4,NaN,1.07058823529412,_proj_,_group_
18,159,1.37735849056604,1.251223428039,1.4390243902439,1.31168831168831,0.114779874213836,0.10426861900325,1,4,NaN,1.37735849056604,_proj_,_group_
19,172,1.29651162790698,1.40149858594781,1.14814814814815,1.42857142857143,0.108042635658915,0.116791548828984,1,4,NaN,1.29651162790698,_proj_,_group_
20,183,1.31693989071038,1.4668825550919,1.39047619047619,1.21794871794872,0.109744990892532,0.122240212924325,1,4,NaN,1.31693989071038,_proj_,_group_
21,192,1.41666666666667,1.60930973897231,1.43434343434343,1.39784946236559,0.118055555555556,0.134109144914359,1,4,NaN,1.41666666666667,_proj_,_group_
22,183,1.37704918032787,1.57414481676922,1.42105263157895,1.32954545454545,0.114754098360656,0.131178734730769,1,4,NaN,1.37704918032787,_proj_,_group_
23,187,1.44919786096257,1.7417507254693,1.43037974683544,1.46296296296296,0.120766488413547,0.145145893789108,1,4,NaN,1.44919786096257,_proj_,_group_
24,183,1.18579234972678,1.59270841979648,1.13095238095238,1.23232323232323,0.098816029143898,0.132725701649707,1,4,NaN,1.18579234972678,_proj_,_group_
25,181,1.14917127071823,1.33951146917782,1.23584905660377,1.02666666666667,0.0957642725598527,0.111625955764819,1,4,NaN,1.14917127071823,_proj_,_group_
26,163,0.993865030674847,1.15735400922038,1.0126582278481,0.976190476190476,0.0828220858895705,0.0964461674350316,1,4,NaN,0.993865030674847,_proj_,_group_
27,162,1.30864197530864,1.50065803627263,1.55072463768116,1.12903225806452,0.109053497942387,0.125054836356052,1,4,NaN,1.30864197530864,_proj_,_group_
28,174,1.47126436781609,1.66110959823117,1.7093023255814,1.23863636363636,0.122605363984674,0.138425799852598,1,4,NaN,1.47126436781609,_proj_,_group_
29,184,1.42391304347826,1.52382675931263,1.28125,1.57954545454545,0.118659420289855,0.126985563276053,1,4,NaN,1.42391304347826,_proj_,_group_
30,184,1.44021739130435,1.5281375344083,1.45454545454545,1.42352941176471,0.120018115942029,0.127344794534025,1,4,NaN,1.44021739130435,_proj_,_group_
31,176,1.20454545454545,1.38695218505771,1.25882352941176,1.15384615384615,0.100378787878788,0.115579348754809,1,4,NaN,1.20454545454545,_proj_,_group_
32,176,1.23863636363636,1.39791124330404,1.21978021978022,1.25882352941176,0.103219696969697,0.11649260360867,1,4,NaN,1.23863636363636,_proj_,_group_
33,168,1.22619047619048,1.41295283007909,1.12820512820513,1.31111111111111,0.10218253968254,0.117746069173258,1,4,NaN,1.22619047619048,_proj_,_group_
34,170,1.25294117647059,1.38914543014946,1.38297872340426,1.09210526315789,0.104411764705882,0.115762119179121,1,4,NaN,1.25294117647059,_proj_,_group_
35,184,1.2445652173913,1.44856168576698,1.18681318681319,1.3010752688172,0.103713768115942,0.120713473813915,1,4,NaN,1.2445652173913,_proj_,_group_
36,175,1.36571428571429,1.39084503734176,1.2962962962963,1.42553191489362,0.113809523809524,0.115903753111813,1,4,NaN,1.36571428571429,_proj_,_group_
